room,address,building,capacity,tech,type,building_acronym,rating ,address,is_booked,roomid
308,"250 NATURAL RESOURCES RD, Amherst, MA 01003 ",Ag.Engin Central Room 308,38,,,AEBC,2,,FALSE,1
119,"250 NATURAL RESOURCES RD, Amherst, MA 01003 ",Ag. Engineering Bldg Room 119,109,ECHO,,AEBN,2,,FALSE,2
101,"715 N PLEASANT, Amherst, MA 01003 ",Arnold Room 101,43,ECHO,,ARND,3,,FALSE,3
104,"715 N PLEASANT, Amherst, MA 01003 ",Arnold Room 104,17,,,ARND,4,,FALSE,4
108,"715 N PLEASANT, Amherst, MA 01003 ",Arnold Room 108,19,,,ARND,4,,FALSE,5
140,"715 N PLEASANT, Amherst, MA 01003 ",Arnold Room 140,45,,,ARND,5,,FALSE,6
109,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 109,30,,,BART,4,,FALSE,7
119,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 119,41,,,BART,2,,FALSE,8
121,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 121,28,,,BART,2,,FALSE,9
125,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 125,41,,,BART,2,,FALSE,10
127,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 127,30,,,BART,2,,FALSE,11
131,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 131,27,,,BART,2,,FALSE,12
206,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 206,55,,,BART,2,,FALSE,13
3,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 3,30,,,BART,2,,FALSE,14
35,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 35,26,,,BART,2,,FALSE,15
456,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 456,15,,,BART,2,,FALSE,16
474,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Room 474,16,,,BART,2,,FALSE,17
61,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 61,62,ECHO,,BART,2,,FALSE,18
65,"130 HICKS WAY, Amherst, MA 01003 ",Bartlett Hall Room 65,334,ECHO/HK,AUD,BART,2,,FALSE,19
209,"201 NATURAL RESOURCES RD, Amherst, MA 01003 ",Bowditch Hall Room 209,21,,,BOWD,2,,FALSE,20
51,"131 COMMONWEALTH AVE, Amherst, MA 01003 ",Boyden Room 51,49,,,BOYD,2,,FALSE,21
329,"100 HOLDSWORTH WAY, Amherst, MA 01003 ",Chenoweth Lab Addition Room 329,32,,,CHEN,4,,FALSE,22
108,"100 HOLDSWORTH WAY, Amherst, MA 01003 ",Chenoweth Lab Room 108,32,,,CHNW,3,,FALSE,23
113,"100 HOLDSWORTH WAY, Amherst, MA 01003 ",Chenoweth Lab Room 113,41,,,CHNW,5,,FALSE,24
109,"155 HICKS WAY, Amherst, MA 01003 ",Dickinson Hall Room 109,45,,,DKSN,2,,FALSE,25
110,"155 HICKS WAY, Amherst, MA 01003 ",Dickinson Hall Room 110,48,ECHO,,DKSN,3,,FALSE,26
112,"155 HICKS WAY, Amherst, MA 01003 ",Dickinson Hall Room 112,43,ECHO,,DKSN,1,,FALSE,27
114,"155 HICKS WAY, Amherst, MA 01003 ",Dickinson Hall Room 114,46,,,DKSN,2,,FALSE,28
206,"155 HICKS WAY, Amherst, MA 01003 ",Dickinson Hall Room 206,25,,,DKSN,3,,FALSE,29
209,"155 HICKS WAY, Amherst, MA 01003 ",Dickinson Hall Room 209,43,ECHO,,DKSN,4,,FALSE,30
212,"155 HICKS WAY, Amherst, MA 01003 ",Dickinson Hall Room 212,48,ECHO,,DKSN,2,,FALSE,31
214,"155 HICKS WAY, Amherst, MA 01003 ",Dickinson Hall Room 214,44,,,DKSN,1,,FALSE,32
216,"155 HICKS WAY, Amherst, MA 01003 ",Dickinson Hall Room 216,46,,,DKSN,4,,FALSE,33
124,"40 CAMPUS CENTER WAY, Amherst, MA 01003 ",Draper Hall Room 124,41,ECHO,,DRA,4,,FALSE,34
303,", Amherst, MA 01003 ",Engineering Laboratory Room 303,81,ECHO,,ELAB,1,,FALSE,35
304,", Amherst, MA 01003 ",Engineering Laboratory Room 304,64,ECHO,,ELAB,2,,FALSE,36
305,", Amherst, MA 01003 ",Engineering Laboratory Room 305,38,ECHO,,ELAB,3,,FALSE,37
306,", Amherst, MA 01003 ",Engineering Laboratory Room 306,52,ECHO,,ELAB,4,,FALSE,38
323,", Amherst, MA 01003 ",Engineering Laboratory Room 323,62,ECHO,,ELAB,2,,FALSE,39
325,", Amherst, MA 01003 ",Engineering Laboratory Room 325,35,ECHO,,ELAB,3,,FALSE,40
327,", Amherst, MA 01003 ",Engineering Laboratory Room 327,29,ECHO,,ELAB,4,,FALSE,41
119,", Amherst, MA 01003 ",Engineering Lab II Room 119,193,ECHO,AUD,ELABII,5,,FALSE,42
210,", Amherst, MA 01003 ",Elm Room 210,24,ECHO,,ELM,2,,FALSE,43
212,", Amherst, MA 01003 ",Elm Room 212,24,ECHO,,ELM,3,,FALSE,44
214,", Amherst, MA 01003 ",Elm Room 214,24,,,ELM,2,,FALSE,45
224,", Amherst, MA 01003 ",Elm Room 224,24,,,ELM,4,,FALSE,46
226,", Amherst, MA 01003 ",Elm Room 226,24,,,ELM,1,,FALSE,47
227,", Amherst, MA 01003 ",Elm Room 227,24,,,ELM,2,,FALSE,48
228,", Amherst, MA 01003 ",Elm Room 228,24,,,ELM,4,,FALSE,49
230,", Amherst, MA 01003 ",Elm Room 230,24,,,ELM,3,,FALSE,50
301,", Amherst, MA 01003 ",Elm Room 301,24,,,ELM,4,,FALSE,51
11,", Amherst, MA 01003 ",Fernald Hall Room 11,110,,AUD,FERN,1,,FALSE,52
103,", Amherst, MA 01003 ",Flint Laboratory Room 103,41,,,FLIN,2,,FALSE,53
105,", Amherst, MA 01003 ",Flint Laboratory Room 105,65,,,FLIN,3,,FALSE,54
201,", Amherst, MA 01003 ",Flint Lab Room 201,65,ECHO,,FLIN,1,,FALSE,55
102,", Amherst, MA 01003 ",French  Hall Room 102,56,ECHO,,FREN,2,,FALSE,56
106,", Amherst, MA 01003 ",French Hall Room 106,27,,,FREN,3,,FALSE,57
101,", Amherst, MA 01003 ",Furcolo Hall 101,40,ECHO,,FURC,4,,FALSE,58
102,", Amherst, MA 01003 ",Furcolo Hall 102,48,ECHO,,FURC,5,,FALSE,59
125,", Amherst, MA 01003 ",Furcolo Carney Fam Auditorium,195,ECHO/HK,AUD,FURC,2,,FALSE,60
W107,", Amherst, MA 01003 ",Furcolo W Room 107,42,,,FURC,3,,FALSE,61
608,", Amherst, MA 01003 ",Goodell Room 608,54,ECHO/HK,TBL,GDLL,4,,FALSE,62
20,", Amherst, MA 01003 ",Goessmann Laboratory Room 20,159,ECHO/HK,AUD,GOES,5,,FALSE,63
151,", Amherst, MA 01003 ",Goessmann Lab Addition Room 151,60,ECHO,,GSMN,2,,FALSE,64
152,", Amherst, MA 01003 ",Goessmann lab Addition 152,60,ECHO,,GSMN,3,,FALSE,65
51,", Amherst, MA 01003 ",Goessmann Lab. Addtn Room 51,65,ECHO,,GSMN,4,,FALSE,66
64,", Amherst, MA 01003 ",Goessmann Lab. Add Room 64,180,ECHO/HK,AUD,GSMN,5,,FALSE,67
130,", Amherst, MA 01003 ",Hasbrouck Laboratory Room 130,31,ECHO,,HAS,2,,FALSE,68
134,", Amherst, MA 01003 ",Hasbrouck Laboratory Room 134,120,ECHO/HK,AUD,HAS,3,,FALSE,69
136,", Amherst, MA 01003 ",Hasbrouck Laboratory Room 136,24,ECHO,,HAS,4,,FALSE,70
137,", Amherst, MA 01003 ",Hasbrouck Laboratory Room 137,42,ECHO,,HAS,5,,FALSE,71
138,", Amherst, MA 01003 ",Hasbrouck Laboratory Room 138,56,ECHO,,HAS,2,,FALSE,72
228,", Amherst, MA 01003 ",Hasbrouck Laboratory Room 228,35,ECHO,,HAS,3,,FALSE,73
230,", Amherst, MA 01003 ",Hasbrouck Laboratory Room 230,30,ECHO,,HAS,4,,FALSE,74
242,", Amherst, MA 01003 ",Hasbrouck Laboratory Room 242,33,,,HAS,5,,FALSE,75
104A,", Amherst, MA 01003 ",Hasbrouck Lab Add Room 104A,26,,,HASA,2,,FALSE,76
104B,", Amherst, MA 01003 ",Hasbrouck Lab Add Room 104B,24,,,HASA,3,,FALSE,77
106,", Amherst, MA 01003 ",Hasbrouck Lab Add Room 106,20,,,HASA,4,,FALSE,78
107,", Amherst, MA 01003 ",Hasbrouck Lab Add Room 107,28,,,HASA,5,,FALSE,79
109,", Amherst, MA 01003 ",Hasbrouck Lab Add Room 109,39,ECHO,,HASA,2,,FALSE,80
111,", Amherst, MA 01003 ",Hasbrouck Lab Add Room 111,37,,,HASA,3,,FALSE,81
113,", Amherst, MA 01003 ",Hasbrouck Lab Add Room 113,52,,,HASA,4,,FALSE,82
124,", Amherst, MA 01003 ",Hasbrouck Lab Add Room 124,120,ECHO/HK,AUD,HASA,5,,FALSE,83
126,", Amherst, MA 01003 ",Hasbrouck Lab Add Room 126,120,ECHO/HK,AUD,HASA,2,,FALSE,84
20,", Amherst, MA 01003 ",Hasbrouck Lab Add Room 20,305,ECHO,AUD,HASA,3,,FALSE,85
102,", Amherst, MA 01003 ",Herter Hall Room 102,30,,,HERT,4,,FALSE,86
106,", Amherst, MA 01003 ",Herter Hall Room 106,18,,,HERT,5,,FALSE,87
107,", Amherst, MA 01003 ",Herter Hall Room 107,34,,,HERT,2,,FALSE,88
108,", Amherst, MA 01003 ",Herter Hall Room 108,21,,,HERT,3,,FALSE,89
110,", Amherst, MA 01003 ",Herter Hall Room 110,22,,,HERT,4,,FALSE,90
111,", Amherst, MA 01003 ",Herter Hall Room 111,36,,,HERT,5,,FALSE,91
112,", Amherst, MA 01003 ",Herter Hall Room 112,18,,,HERT,2,,FALSE,92
113,", Amherst, MA 01003 ",Herter Hall Room 113,35,,,HERT,3,,FALSE,93
114,", Amherst, MA 01003 ",Herter Hall Room 114,22,,,HERT,4,,FALSE,94
116,", Amherst, MA 01003 ",Herter Hall Room 116,42,ECHO,,HERT,5,,FALSE,95
117,", Amherst, MA 01003 ",Herter Hall Room 117,34,,,HERT,2,,FALSE,96
118,", Amherst, MA 01003 ",Herter Hall Room 118,34,,,HERT,3,,FALSE,97
119,", Amherst, MA 01003 ",Herter Hall Room 119,36,,,HERT,4,,FALSE,98
201,", Amherst, MA 01003 ",Herter Hall Room 201,44,,,HERT,5,,FALSE,99
202,", Amherst, MA 01003 ",Herter Hall Room 202,22,,,HERT,2,,FALSE,100
204,", Amherst, MA 01003 ",Herter Hall Room 204,18,,,HERT,3,,FALSE,101
205,", Amherst, MA 01003 ",Herter Hall Room 205,50,,,HERT,4,,FALSE,102
206,", Amherst, MA 01003 ",Herter Hall Room 206,35,,,HERT,5,,FALSE,103
207,", Amherst, MA 01003 ",Herter Hall Room 207,32,,,HERT,2,,FALSE,104
208,", Amherst, MA 01003 ",Herter Hall Room 208,15,,,HERT,3,,FALSE,105
209,", Amherst, MA 01003 ",Herter Hall Room 209,35,,,HERT,4,,FALSE,106
210,", Amherst, MA 01003 ",Herter Hall Room 210,35,,,HERT,5,,FALSE,107
211,", Amherst, MA 01003 ",Herter Hall Room 211,32,,,HERT,2,,FALSE,108
212,", Amherst, MA 01003 ",Herter Hall Room 212,29,,,HERT,3,,FALSE,109
214,", Amherst, MA 01003 ",Herter Hall Room 214,14,,,HERT,4,,FALSE,110
217,", Amherst, MA 01003 ",Herter Hall Room 217,50,,,HERT,5,,FALSE,111
222,", Amherst, MA 01003 ",Herter Hall Room 222,23,,,HERT,2,,FALSE,112
224,", Amherst, MA 01003 ",Herter Hall Room 224,25,,,HERT,3,,FALSE,113
225,", Amherst, MA 01003 ",Herter Hall Room 225,44,ECHO,,HERT,4,,FALSE,114
227,", Amherst, MA 01003 ",Herter Hall Room 227,150,ECHO/HK,AUD,HERT,5,,FALSE,115
231,", Amherst, MA 01003 ",Herter Hall Room 231,150,ECHO/HK,AUD,HERT,2,,FALSE,116
